municipio,uf,regiao,ano,meta,target
Cláudia,MT,Centro-Oeste,2024,61.97,1
São Vicente de Minas,MG,Sudeste,2024,63.39,1
Juquitiba,SP,Sudeste,2024,63.43,1
Senador Sá,CE,Nordeste,2024,80.0,1
Pariquera-Açu,SP,Sudeste,2024,67.0,0
Itariri,SP,Sudeste,2024,64.65,0
General Salgado,SP,Sudeste,2024,63.97,1
Goiás,GO,Centro-Oeste,2024,69.49,1
Canoinhas,SC,Sul,2024,74.87,1
Lagoa da Prata,MG,Sudeste,2024,73.73,1
Jussara,GO,Centro-Oeste,2024,62.46,1
Domingos Martins,ES,Sudeste,2024,80.0,1
Serrinha dos Pintos,RN,Nordeste,2024,61.18,1
Votuporanga,SP,Sudeste,2024,54.68,1
Piquerobi,SP,Sudeste,2024,60.19,0
Araraquara,SP,Sudeste,2024,59.9,1
Acreúna,GO,Centro-Oeste,2024,62.06,1
Manaíra,PB,Nordeste,2024,80.0,0
Turvelândia,GO,Centro-Oeste,2024,70.07,1
Guarani d'Oeste,SP,Sudeste,2024,80.0,0
Córrego do Ouro,GO,Centro-Oeste,2024,77.79,1
São José da Lagoa Tapada,PB,Nordeste,2024,80.0,0
Uiraúna,PB,Nordeste,2024,80.0,0
Pinheirinho do Vale,RS,Sul,2024,80.0,0
Aroeiras do Itaim,PI,Nordeste,2024,57.75,1
Jaçanã,RN,Nordeste,2024,52.38,1
São Pedro do Turvo,SP,Sudeste,2024,70.94,1
Várzea Grande,PI,Nordeste,2024,80.0,0
Itueta,MG,Sudeste,2024,59.6,1
Ciríaco,RS,Sul,2024,80.0,1
Paraíso do Sul,RS,Sul,2024,80.0,0
Anita Garibaldi,SC,Sul,2024,68.32,1
Siderópolis,SC,Sul,2024,64.7,1
São José dos Cordeiros,PB,Nordeste,2024,80.0,1
Taquaruçu do Sul,RS,Sul,2024,80.0,1
Floriano Peixoto,RS,Sul,2024,80.0,0
Argirita,MG,Sudeste,2024,59.26,1
Macaíba,RN,Nordeste,2024,36.28,0
Ribeirão Preto,SP,Sudeste,2024,45.48,1
Juruaia,MG,Sudeste,2024,78.72,1
Conselheiro Lafaiete,MG,Sudeste,2024,67.43,1
Lagoa da Prata,MG,Sudeste,2024,73.73,1
Manoel Viana,RS,Sul,2024,35.72,1
Estrela d'Oeste,SP,Sudeste,2024,58.28,1
Santa Efigênia de Minas,MG,Sudeste,2024,49.21,1
Cândido Godói,RS,Sul,2024,76.2,0
Itaú de Minas,MG,Sudeste,2024,75.2,1
Cachoeira dos Índios,PB,Nordeste,2024,48.08,1
Palma Sola,SC,Sul,2024,80.0,0
Ribeirão Pires,SP,Sudeste,2024,66.91,0
Major Gercino,SC,Sul,2024,56.12,1
Gonzaga,MG,Sudeste,2024,68.63,1
Ibiraci,MG,Sudeste,2024,39.73,1
