municipio,uf,meta,resultado,diferenca,ano
Potiraguá,BA,35.06,27.54,-7.520000000000003,2024
Ibiracatu,MG,66.87,37.74,-29.130000000000003,2024
Cedro de São João,SE,29.4,45.3,15.899999999999999,2024
Mulungu do Morro,BA,29.66,28.83,-0.8300000000000018,2024
Socorro do Piauí,PI,70.3,30.86,-39.44,2024
Aparecida do Rio Negro,TO,37.16,35.78,-1.3799999999999955,2024
Maruim,SE,28.54,31.19,2.650000000000002,2024
Miravânia,MG,46.9,38.92,-7.979999999999997,2024
Santo Antônio do Tauá,PA,32.94,31.66,-1.2799999999999976,2024
Bocaina do Sul,SC,45.49,28.06,-17.430000000000003,2024
Santo Amaro das Brotas,SE,41.37,26.79,-14.579999999999998,2024
Matias Cardoso,MG,44.2,31.08,-13.120000000000005,2024
Japorã,MS,18.91,44.21,25.3,2024
Campo Belo do Sul,SC,47.83,53.29,5.460000000000001,2024
Ourolândia,BA,29.85,34.04,4.189999999999998,2024
Entre Rios do Sul,RS,79.55,60.0,-19.549999999999997,2024
Nova Belém,MG,54.93,48.0,-6.93,2024
Manoel Vitorino,BA,45.86,41.67,-4.189999999999998,2024
São José do Ouro,RS,65.42,40.0,-25.42,2024
Bodó,RN,67.45,60.0,-7.450000000000003,2024
Amparo de São Francisco,SE,47.31,50.0,2.6899999999999977,2024
Barra Funda,RS,70.55,50.0,-20.549999999999997,2024
Canelinha,SC,62.71,40.0,-22.71,2024
Formigueiro,RS,80.0,40.0,-40.0,2024
Unistalda,RS,62.33,80.0,17.67,2024
Itacuruba,PE,67.28,48.57,-18.71,2024
Itapipoca,CE,80.0,30.0,-50.0,2024
São João do Sabugi,RN,54.48,40.0,-14.479999999999997,2024
Pinhão,SE,22.98,40.26,17.279999999999998,2024
Japorã,MS,18.91,41.76,22.849999999999998,2024
Mar de Espanha,MG,59.0,49.4,-9.600000000000001,2024
Jaú do Tocantins,TO,64.21,62.32,-1.8899999999999935,2024
Vista Serrana,PB,49.87,58.31,8.440000000000005,2024
Esteio,RS,66.11,34.7,-31.409999999999997,2024
Janduís,RN,30.69,37.23,6.539999999999996,2024
São Domingos do Capim,PA,37.87,32.97,-4.899999999999999,2024
Boquim,SE,29.96,33.02,3.0600000000000023,2024
Condado,PB,60.18,46.13,-14.049999999999997,2024
Muçum,RS,55.68,47.3,-8.380000000000003,2024
Maçambará,RS,69.08,42.4,-26.68,2024
José Boiteux,SC,43.68,21.16,-22.52,2024
Nova Rosalândia,TO,39.14,55.38,16.240000000000002,2024
Unistalda,RS,62.33,55.6,-6.729999999999997,2024
Urupema,SC,80.0,33.19,-46.81,2024
Iguape,SP,60.97,71.43,10.460000000000008,2024
Rodelas,BA,30.48,50.0,19.52,2024
Silveira Martins,RS,68.83,35.7,-33.129999999999995,2024
Ipueiras,TO,34.46,21.43,-13.030000000000001,2024
Canhoba,SE,51.04,64.29,13.250000000000007,2024
São Roberto,MA,53.44,35.69,-17.75,2024
Pedra Mole,SE,52.91,47.76,-5.149999999999999,2024
Nova Palma,RS,80.0,35.9,-44.1,2024
Santa Rosa de Lima,SE,32.22,26.74,-5.48,2024
Boquim,SE,29.96,34.91,4.949999999999996,2024
Santo Expedito do Sul,RS,80.0,66.7,-13.299999999999997,2024
Vista Alegre,RS,80.0,33.3,-46.7,2024
Ielmo Marinho,RN,47.4,33.33,-14.07,2024
Unistalda,RS,62.33,38.1,-24.229999999999997,2024
Rafael Fernandes,RN,59.65,33.33,-26.32,2024
Cerrito,RS,75.82,39.8,-36.019999999999996,2024
Senador José Porfírio,PA,40.12,35.9,-4.219999999999999,2024
Itaúna do Sul,PR,77.77,40.32,-37.449999999999996,2024
Santa Cecília do Sul,RS,75.76,40.9,-34.86000000000001,2024
Fortaleza dos Valos,RS,80.0,68.2,-11.799999999999997,2024
Santa Filomena do Maranhão,MA,43.08,40.91,-2.1700000000000017,2024
Santo Antônio das Missões,RS,74.48,59.1,-15.380000000000003,2024
Dois Irmãos do Buriti,MS,44.63,39.87,-4.760000000000005,2024
Jaboticaba,RS,80.0,40.0,-40.0,2024
Santo Antônio do Palma,RS,73.44,34.6,-38.839999999999996,2024
Sertão Santana,RS,75.57,46.2,-29.36999999999999,2024
Erebango,RS,74.36,38.5,-35.86,2024
Morro Reuter,RS,56.24,76.9,20.660000000000004,2024
Barros Cassal,RS,55.82,46.9,-8.920000000000002,2024
Santana do Matos,RN,28.87,51.92,23.05,2024
Jandaíra,RN,37.5,23.53,-13.969999999999999,2024
Várzea do Poço,BA,50.5,43.64,-6.859999999999999,2024
Mirador,PR,71.89,56.0,-15.89,2024
Campo Grande,AL,56.21,37.4,-18.810000000000002,2024
Prado,BA,41.65,50.0,8.350000000000001,2024
Treviso,SC,70.42,56.3,-14.120000000000005,2024
Rio do Antônio,BA,65.42,43.82,-21.6,2024
Augusto Pestana,RS,80.0,46.0,-34.0,2024
Arantina,MG,75.76,57.09,-18.67,2024
Ortigueira,PR,65.49,33.33,-32.16,2024
Coqueiros do Sul,RS,80.0,41.7,-38.3,2024
Caxambu,MG,76.93,54.17,-22.760000000000005,2024
Barra de São Francisco,ES,78.66,75.0,-3.6599999999999966,2024
Recreio,MG,73.4,41.67,-31.730000000000004,2024
Mata Verde,MG,59.04,58.33,-0.7100000000000009,2024
Miravânia,MG,46.9,37.5,-9.399999999999999,2024
Muçum,RS,55.68,53.6,-2.0799999999999983,2024
Bonito de Minas,MG,66.87,44.78,-22.090000000000003,2024
Sede Nova,RS,80.0,36.1,-43.9,2024
Maria Helena,PR,67.2,49.96,-17.240000000000002,2024
Tamboara,PR,52.89,46.83,-6.060000000000002,2024
Nova Itaberaba,SC,69.44,71.17,1.730000000000004,2024
Quatipuru,PA,53.99,47.3,-6.690000000000005,2024
Juruá,AM,46.8,44.2,-2.5999999999999943,2024
Miraselva,PR,77.49,51.38,-26.109999999999992,2024
Ferreira Gomes,AP,74.45,36.36,-38.09,2024
