municipio,uf,meta,resultado,diferenca,ano
Santa Rita,MA,62.92,56.53,-6.390000000000001,2024
Goianá,MG,75.76,80.51,4.75,2024
Porto Rico,PR,63.64,71.94,8.299999999999997,2024
Passa Quatro,MG,80.0,80.38,0.37999999999999545,2024
Caçador,SC,71.48,65.51,-5.969999999999999,2024
Linhares,ES,66.76,67.84,1.0799999999999983,2024
Sobrália,MG,68.72,75.93,7.210000000000008,2024
Espera Feliz,MG,72.95,59.04,-13.910000000000004,2024
Nova Olinda do Maranhão,MA,60.95,62.23,1.279999999999994,2024
São Cristóvão,SE,59.87,68.53,8.660000000000004,2024
Igaratinga,MG,70.67,79.48,8.810000000000002,2024
Aurora do Tocantins,TO,57.4,41.94,-15.46,2024
Betim,MG,58.25,66.97,8.719999999999999,2024
Linhares,ES,66.76,67.59,0.8299999999999983,2024
São Pedro do Suaçuí,MG,69.13,88.29,19.16000000000001,2024
Arapongas,PR,76.59,70.97,-5.6200000000000045,2024
Praia Grande,SC,67.96,79.44,11.480000000000004,2024
Diamante do Norte,PR,74.08,78.26,4.180000000000007,2024
Sabino,SP,58.64,46.98,-11.660000000000004,2024
Serrinha,RN,60.14,48.08,-12.060000000000002,2024
Alto Paraíso de Goiás,GO,80.0,60.2,-19.799999999999997,2024
Criciúma,SC,62.54,59.81,-2.729999999999997,2024
Santana do Paraíso,MG,71.41,69.95,-1.4599999999999937,2024
Caxambu do Sul,SC,71.21,60.13,-11.079999999999991,2024
Caeté,MG,74.49,70.95,-3.539999999999992,2024
Terra Nova,PE,64.99,71.07,6.079999999999998,2024
Santa Lúcia,PR,79.57,85.71,6.140000000000001,2024
Amaral Ferrador,RS,72.06,56.6,-15.46,2024
Laurentino,SC,66.86,60.32,-6.539999999999999,2024
Tenente Portela,RS,69.61,62.2,-7.409999999999997,2024
Jacinto,MG,50.97,55.44,4.469999999999999,2024
Comendador Levy Gasparian,RJ,56.32,66.11,9.79,2024
Santa Isabel do Ivaí,PR,80.0,75.13,-4.8700000000000045,2024
Marau,RS,68.78,46.2,-22.58,2024
Monte Santo do Tocantins,TO,36.45,44.77,8.32,2024
Criciúma,SC,62.54,59.75,-2.789999999999999,2024
Joaíma,MG,48.92,64.1,15.179999999999993,2024
Contagem,MG,58.08,69.05,10.969999999999999,2024
Cruzeiro do Oeste,PR,74.97,73.47,-1.5,2024
Iati,PE,68.56,82.26,13.700000000000003,2024
São Sebastião da Amoreira,PR,80.0,87.77,7.769999999999996,2024
Pederneiras,SP,43.06,46.77,3.710000000000001,2024
Guaraí,TO,42.74,48.16,5.419999999999995,2024
São Pedro de Alcântara,SC,74.91,59.93,-14.979999999999997,2024
Itatiba do Sul,RS,80.0,38.0,-42.0,2024
Exu,PE,60.53,55.21,-5.32,2024
Arenápolis,MT,65.24,58.62,-6.619999999999997,2024
Fernando Pedroza,RN,39.77,62.51,22.739999999999995,2024
Formigueiro,RS,80.0,65.9,-14.099999999999994,2024
Nísia Floresta,RN,39.14,49.02,9.880000000000003,2024
Massapê do Piauí,PI,51.46,60.66,9.199999999999996,2024
Araçoiaba,PE,51.26,53.49,2.230000000000004,2024
Marechal Cândido Rondon,PR,76.01,76.44,0.4299999999999926,2024
Frei Miguelinho,PE,69.96,70.68,0.7200000000000131,2024
Leopoldina,MG,62.21,65.12,2.9100000000000037,2024
Vale Real,RS,76.86,35.0,-41.86,2024
Nova Hartz,RS,73.32,45.1,-28.21999999999999,2024
Arraias,TO,41.11,61.2,20.090000000000003,2024
Esmeraldas,MG,55.55,70.85,15.299999999999997,2024
Ponte Nova,MG,57.17,78.64,21.47,2024
Colônia do Piauí,PI,63.22,42.87,-20.35,2024
Santa Bárbara do Sul,RS,68.31,42.8,-25.510000000000005,2024
Maravilha,SC,80.0,76.03,-3.969999999999999,2024
Custódia,PE,80.0,84.57,4.569999999999993,2024
Teixeira Soares,PR,77.71,88.2,10.490000000000009,2024
Ponta Porã,MS,61.45,67.74,6.289999999999992,2024
Cachoeiro de Itapemirim,ES,67.7,71.69,3.989999999999995,2024
Vargem Bonita,SC,66.82,67.69,0.8700000000000045,2024
Tupãssi,PR,72.18,79.06,6.8799999999999955,2024
Tunas do Paraná,PR,66.18,75.01,8.829999999999998,2024
Senhora dos Remédios,MG,80.0,80.52,0.519999999999996,2024
Correia Pinto,SC,63.0,58.24,-4.759999999999998,2024
Porteirinha,MG,66.24,70.05,3.8100000000000023,2024
Icatu,MA,68.75,68.98,0.23000000000000398,2024
Parecis,RO,64.17,70.6,6.429999999999993,2024
São José do Campestre,RN,25.0,49.57,24.57,2024
São Luiz Gonzaga,RS,80.0,55.5,-24.5,2024
Rio Bonito do Iguaçu,PR,80.0,75.32,-4.680000000000007,2024
Tapira,MG,60.07,79.68,19.610000000000007,2024
Ielmo Marinho,RN,47.4,30.36,-17.04,2024
Barra do Corda,MA,67.82,64.05,-3.769999999999996,2024
Pouso Alegre,MG,62.41,68.72,6.310000000000002,2024
Jaqueira,PE,61.36,81.67,20.310000000000002,2024
Inajá,PE,58.6,79.7,21.1,2024
Benedito Novo,SC,64.47,71.71,7.239999999999995,2024
Engenheiro Beltrão,PR,80.0,82.06,2.0600000000000023,2024
Luciara,MT,44.17,46.43,2.259999999999998,2024
Almino Afonso,RN,17.02,21.43,4.41,2024
São Pedro do Butiá,RS,80.0,64.3,-15.700000000000003,2024
Cachoeira de Goiás,GO,67.45,64.29,-3.1599999999999966,2024
Santo Expedito do Sul,RS,80.0,85.7,5.700000000000003,2024
Feliz Natal,MT,67.6,51.15,-16.449999999999996,2024
Frei Martinho,PB,45.11,71.43,26.320000000000007,2024
Cruzaltense,RS,78.11,64.3,-13.810000000000002,2024
Dom Pedro de Alcântara,RS,80.0,57.1,-22.9,2024
Pontalinda,SP,50.33,51.66,1.3299999999999983,2024
Xavantina,SC,72.9,80.95,8.049999999999997,2024
Planalto,RS,73.65,56.3,-17.35000000000001,2024
Áurea,RS,80.0,56.5,-23.5,2024
Rondolândia,MT,36.18,71.43,35.25000000000001,2024
Nonoai,RS,48.14,52.4,4.259999999999998,2024
Presidente Juscelino,MA,43.48,57.94,14.46,2024
Ciríaco,RS,80.0,84.0,4.0,2024
Berizal,MG,70.18,83.33,13.149999999999991,2024
Chuí,RS,54.93,78.6,23.669999999999995,2024
Vista Alegre do Prata,RS,80.0,85.7,5.700000000000003,2024
São Miguel das Missões,RS,76.86,64.3,-12.560000000000002,2024
Antônio Martins,RN,32.45,78.57,46.11999999999999,2024
Olho d'Água Grande,AL,80.0,82.14,2.1400000000000006,2024
São Bento do Norte,RN,61.45,32.17,-29.28,2024
Osório,RS,69.76,37.0,-32.760000000000005,2024
Jaguari,RS,67.37,53.4,-13.970000000000006,2024
Ipira,SC,80.0,84.43,4.430000000000007,2024
Farroupilha,RS,80.0,56.7,-23.299999999999997,2024
Sabará,MG,60.94,71.68,10.740000000000009,2024
Castilho,SP,53.1,45.42,-7.68,2024
Carazinho,RS,66.52,50.8,-15.719999999999999,2024
Nova Hartz,RS,73.32,45.3,-28.019999999999996,2024
São Joaquim da Barra,SP,51.12,50.24,-0.8799999999999955,2024
Ibirité,MG,56.29,63.66,7.369999999999997,2024
Ouro Preto,MG,59.55,71.36,11.810000000000002,2024
Goiandira,GO,50.36,72.17,21.810000000000002,2024
São Miguel do Tocantins,TO,34.18,36.9,2.719999999999999,2024
Suzano,SP,48.1,46.82,-1.2800000000000011,2024
Guaíra,SP,59.03,53.49,-5.539999999999999,2024
Campos Gerais,MG,67.91,71.94,4.030000000000001,2024
Tangará,RN,48.84,36.85,-11.990000000000002,2024
Bom Jesus,RS,73.75,42.6,-31.15,2024
Apodi,RN,43.46,45.18,1.7199999999999989,2024
Goianápolis,GO,75.26,68.02,-7.240000000000009,2024
Padre Paraíso,MG,54.04,68.84,14.800000000000004,2024
Luís Domingues,MA,77.39,84.97,7.579999999999998,2024
Juazeirinho,PB,55.74,45.45,-10.29,2024
Ijuí,RS,77.0,56.1,-20.9,2024
Ribeirão,PE,64.61,65.68,1.0700000000000074,2024
Barra do Mendes,BA,45.6,32.43,-13.170000000000002,2024
Lucélia,SP,67.06,68.26,1.2000000000000028,2024
Toledo,MG,65.89,89.2,23.310000000000002,2024
São Mateus,ES,69.26,70.65,1.3900000000000006,2024
Teófilo Otoni,MG,55.57,65.96,10.389999999999993,2024
Paraibano,MA,79.02,74.65,-4.36999999999999,2024
Sonora,MS,52.8,78.58,25.78,2024
Cotia,SP,55.5,49.49,-6.009999999999998,2024
Canela,RS,78.87,55.4,-23.470000000000006,2024
São Jorge do Ivaí,PR,80.0,70.73,-9.269999999999996,2024
Romelândia,SC,56.69,78.04,21.35000000000001,2024
Maravilhas,MG,71.64,76.79,5.150000000000006,2024
Santo Antônio de Pádua,RJ,68.58,73.82,5.239999999999995,2024
Vitorino,PR,72.74,70.19,-2.549999999999997,2024
São Vicente,SP,49.01,48.22,-0.7899999999999991,2024
Farroupilha,RS,80.0,55.9,-24.1,2024
Água Doce do Norte,ES,77.74,81.68,3.940000000000012,2024
Foz do Iguaçu,PR,74.1,72.01,-2.089999999999989,2024
Passos Maia,SC,54.31,70.84,16.53,2024
Campos Novos,SC,66.86,63.67,-3.1899999999999977,2024
São Vicente,SP,49.01,47.93,-1.0799999999999983,2024
Lagoa Vermelha,RS,64.16,54.6,-9.559999999999995,2024
Pedra Grande,RN,51.07,44.5,-6.57,2024
Anhembi,SP,44.99,45.69,0.6999999999999957,2024
Caxambu,MG,76.93,78.2,1.269999999999996,2024
Governador Luiz Rocha,MA,80.0,91.67,11.670000000000002,2024
Jardim de Piranhas,RN,37.47,63.05,25.58,2024
Dois Riachos,AL,51.92,64.23,12.310000000000002,2024
Baependi,MG,71.83,77.43,5.6000000000000085,2024
Machado,MG,63.26,87.02,23.759999999999998,2024
Lavrinhas,SP,57.18,46.14,-11.04,2024
Mossoró,RN,44.54,40.97,-3.5700000000000003,2024
Japaraíba,MG,72.45,78.49,6.039999999999992,2024
Capitão Leônidas Marques,PR,74.06,78.04,3.980000000000004,2024
Picuí,PB,57.06,42.85,-14.21,2024
Chapadão do Sul,MS,49.18,63.42,14.240000000000002,2024
Paranavaí,PR,80.0,74.3,-5.700000000000003,2024
Praia Norte,TO,25.02,38.49,13.470000000000002,2024
Panambi,RS,76.0,55.1,-20.9,2024
Terra de Areia,RS,69.02,48.4,-20.619999999999997,2024
Camanducaia,MG,58.85,58.56,-0.28999999999999915,2024
Contagem,MG,58.08,70.1,12.019999999999996,2024
Cascavel,PR,80.0,74.34,-5.659999999999997,2024
Canas,SP,57.95,48.15,-9.800000000000004,2024
Mariana,MG,58.12,65.6,7.479999999999997,2024
Bom Jesus do Itabapoana,RJ,61.57,70.64,9.07,2024
Carangola,MG,55.64,67.38,11.739999999999995,2024
Toritama,PE,55.11,63.95,8.840000000000003,2024
Gameleira,PE,62.1,77.37,15.270000000000003,2024
Conceição dos Ouros,MG,64.92,77.03,12.11,2024
Diadema,SP,47.05,48.02,0.970000000000006,2024
Nossa Senhora da Glória,SE,36.66,54.4,17.740000000000002,2024
Pastos Bons,MA,75.06,64.01,-11.049999999999997,2024
Novo Oriente de Minas,MG,50.62,77.9,27.28000000000001,2024
Mamonas,MG,46.38,65.94,19.559999999999995,2024
Porto Velho,RO,67.5,69.36,1.8599999999999994,2024
Macuco,RJ,66.31,77.99,11.679999999999993,2024
Iporã do Oeste,SC,80.0,92.28,12.280000000000001,2024
Rio Negro,MS,57.54,53.05,-4.490000000000002,2024
Nísia Floresta,RN,39.14,49.76,10.619999999999997,2024
Itaporanga,PB,24.9,48.7,23.800000000000004,2024
Caucaia,CE,69.14,52.22,-16.92,2024
Ribeirão Preto,SP,45.48,45.01,-0.46999999999999886,2024
Cajobi,SP,64.32,60.42,-3.8999999999999915,2024
Agudo,RS,60.08,56.9,-3.1799999999999997,2024
Itabira,MG,60.96,68.15,7.190000000000005,2024
Sobrado,PB,63.31,40.74,-22.57,2024
Tavares,RS,68.03,37.0,-31.03,2024
Taipas do Tocantins,TO,59.86,55.56,-4.299999999999997,2024
São Pedro do Sul,RS,77.57,57.4,-20.169999999999995,2024
Godoy Moreira,PR,80.0,74.07,-5.930000000000007,2024
Esperantina,TO,47.0,47.82,0.8200000000000003,2024
Apodi,RN,43.46,48.86,5.399999999999999,2024
Mirandópolis,SP,57.82,54.13,-3.6899999999999977,2024
Nova Petrópolis,RS,80.0,56.2,-23.799999999999997,2024
Forquilhinha,SC,62.24,63.94,1.6999999999999957,2024
Brusque,SC,70.5,65.9,-4.599999999999994,2024
Guaçuí,ES,74.96,76.71,1.75,2024
Palmeiras do Tocantins,TO,25.06,49.53,24.470000000000002,2024
Boa Esperança do Iguaçu,PR,75.76,93.1,17.33999999999999,2024
Clementina,SP,55.83,54.12,-1.7100000000000009,2024
Leopoldina,MG,62.21,65.18,2.970000000000006,2024
São Gonçalo do Amarante,RN,56.91,44.4,-12.509999999999998,2024
Francisco Morato,SP,55.48,63.29,7.810000000000002,2024
Ubaporanga,MG,70.32,69.73,-0.5899999999999892,2024
São Geraldo,MG,80.0,87.65,7.650000000000006,2024
São Lourenço do Sul,RS,79.22,57.2,-22.019999999999996,2024
Prudente de Morais,MG,57.41,63.8,6.390000000000001,2024
Piracema,MG,69.08,76.35,7.269999999999996,2024
Apiúna,SC,66.35,70.88,4.530000000000001,2024
Mossoró,RN,44.54,43.7,-0.8399999999999963,2024
Currais Novos,RN,47.33,46.22,-1.1099999999999994,2024
Muritiba,BA,30.55,51.72,21.169999999999998,2024
Santa Margarida,MG,73.24,60.93,-12.309999999999995,2024
Malacacheta,MG,77.62,75.44,-2.180000000000007,2024
Mato Leitão,RS,80.0,58.4,-21.6,2024
Marcelândia,MT,65.23,65.36,0.12999999999999545,2024
Encantado,RS,80.0,56.4,-23.6,2024
Uberlândia,MG,55.71,62.63,6.920000000000002,2024
Primeira Cruz,MA,76.22,68.97,-7.25,2024
Minas do Leão,RS,74.31,69.6,-4.710000000000008,2024
Pirapora,MG,54.52,69.43,14.910000000000004,2024
Patrocínio do Muriaé,MG,73.79,80.53,6.739999999999995,2024
Osasco,SP,51.47,49.13,-2.3399999999999963,2024
São Brás,AL,69.26,70.72,1.4599999999999937,2024
Morrinhos,GO,65.2,65.87,0.6700000000000017,2024
Porto Murtinho,MS,37.55,67.46,29.909999999999997,2024
Guaramirim,SC,71.87,64.09,-7.780000000000001,2024
Buritis,MG,56.75,63.51,6.759999999999998,2024
Blumenau,SC,66.53,62.88,-3.6499999999999986,2024
Campina Grande do Sul,PR,71.94,66.84,-5.099999999999994,2024
Belo Horizonte,MG,61.33,68.58,7.25,2024
Macapá,AP,49.2,44.85,-4.350000000000001,2024
Franco da Rocha,SP,55.69,46.57,-9.119999999999997,2024
Itacoatiara,AM,51.78,75.75,23.97,2024
Segredo,RS,75.76,76.2,0.4399999999999977,2024
Santa Fé de Minas,MG,40.26,72.51,32.25000000000001,2024
São José do Egito,PE,69.54,73.38,3.839999999999989,2024
Canoinhas,SC,74.87,71.93,-2.9399999999999977,2024
Castro,PR,75.14,74.56,-0.5799999999999983,2024
Curiúva,PR,80.0,68.88,-11.120000000000005,2024
São Sebastião do Caí,RS,61.4,55.9,-5.5,2024
Lajeado Novo,MA,63.83,65.92,2.0900000000000034,2024
Taipu,RN,43.17,68.22,25.049999999999997,2024
Coremas,PB,69.16,48.71,-20.449999999999996,2024
Santo Amaro da Imperatriz,SC,61.81,71.68,9.870000000000005,2024
Varginha,MG,55.51,71.53,16.020000000000003,2024
Curvelo,MG,67.73,71.71,3.9799999999999898,2024
Mossoró,RN,44.54,45.41,0.8699999999999974,2024
Caraúbas,RN,32.45,41.75,9.299999999999997,2024
Funilândia,MG,56.12,68.6,12.479999999999997,2024
Nova Aurora,PR,80.0,74.99,-5.010000000000005,2024
Açu,RN,48.18,40.86,-7.32,2024
Sapiranga,RS,73.9,56.3,-17.60000000000001,2024
Camocim de São Félix,PE,59.74,68.51,8.770000000000003,2024
Salete,SC,78.29,64.68,-13.61,2024
Nepomuceno,MG,58.03,77.99,19.959999999999994,2024
Lucena,PB,52.54,44.96,-7.579999999999998,2024
Santa Branca,SP,46.96,49.71,2.75,2024
Sairé,PE,69.69,81.01,11.320000000000007,2024
Santa Fé,PR,62.22,64.71,2.489999999999995,2024
Ibirama,SC,69.5,71.81,2.3100000000000023,2024
Nobres,MT,60.77,60.61,-0.1600000000000037,2024
Taboão da Serra,SP,51.16,49.2,-1.9599999999999937,2024
Santa Rita do Araguaia,GO,78.93,83.33,4.3999999999999915,2024
Missal,PR,80.0,83.28,3.280000000000001,2024
Umburatiba,MG,66.38,52.43,-13.949999999999996,2024
Restinga,SP,71.82,55.18,-16.639999999999993,2024
Urucânia,MG,59.62,81.15,21.53000000000001,2024
Mesquita,MG,57.61,63.47,5.859999999999999,2024
Paracatu,MG,68.02,63.56,-4.459999999999994,2024
Astorga,PR,79.63,75.21,-4.420000000000002,2024
Imbituva,PR,80.0,78.04,-1.9599999999999937,2024
Centro do Guilherme,MA,80.0,87.93,7.930000000000007,2024
Botelhos,MG,67.86,81.65,13.790000000000006,2024
Guarujá,SP,53.43,48.38,-5.049999999999997,2024
Farroupilha,RS,80.0,52.8,-27.200000000000003,2024
Três Cachoeiras,RS,80.0,53.5,-26.5,2024
Ipubi,PE,73.25,70.08,-3.1700000000000017,2024
Morro da Fumaça,SC,69.95,68.09,-1.8599999999999994,2024
Catuji,MG,42.58,67.78,25.200000000000003,2024
Lauro Muller,SC,66.04,63.54,-2.500000000000007,2024
Ielmo Marinho,RN,47.4,30.13,-17.27,2024
Rio Tinto,PB,78.16,46.3,-31.86,2024
Planalto,RS,73.65,54.1,-19.550000000000004,2024
Açailândia,MA,45.9,62.76,16.86,2024
Caçador,SC,71.48,65.72,-5.760000000000005,2024
Divino,MG,54.23,73.55,19.32,2024
Olho-d'Água do Borges,RN,31.39,30.77,-0.620000000000001,2024
Vanini,RS,80.0,69.2,-10.799999999999997,2024
Ajuricaba,RS,80.0,53.9,-26.1,2024
Pium,TO,29.05,43.07,14.02,2024
Arapeí,SP,53.27,37.41,-15.860000000000007,2024
Santo Antônio do Itambé,MG,52.34,47.84,-4.5,2024
Chiapetta,RS,78.78,84.6,5.819999999999993,2024
Itá,SC,70.81,30.77,-40.040000000000006,2024
São Jerônimo,RS,80.0,56.7,-23.299999999999997,2024
Floresta Azul,BA,21.74,41.03,19.290000000000003,2024
Pedro Canário,ES,70.99,92.31,21.320000000000007,2024
São João do Sabugi,RN,54.48,66.5,12.020000000000003,2024
Caieiras,SP,49.69,50.0,0.3100000000000023,2024
Sul Brasil,SC,76.76,73.21,-3.5500000000000114,2024
São José do Divino,MG,50.96,54.62,3.6599999999999966,2024
Rodeio,SC,60.87,61.54,0.6700000000000017,2024
Dom Bosco,MG,59.62,84.62,25.000000000000007,2024
Vargem Bonita,MG,62.33,69.23,6.900000000000006,2024
Brochier,RS,67.29,53.9,-13.390000000000008,2024
Gameleiras,MG,47.75,53.85,6.100000000000001,2024
Gravatal,SC,57.16,76.93,19.77000000000001,2024
Mundo Novo,MS,80.0,69.23,-10.769999999999996,2024
Guaraniaçu,PR,80.0,71.17,-8.829999999999998,2024
Miguel Leão,PI,52.65,84.62,31.970000000000006,2024
Lagoa Salgada,RN,30.02,61.54,31.52,2024
São Pedro do Suaçuí,MG,69.13,84.62,15.490000000000009,2024
Pedregulho,SP,64.02,51.67,-12.349999999999994,2024
Borebi,SP,64.23,53.42,-10.810000000000002,2024
Ascurra,SC,80.0,48.83,-31.17,2024
Orleans,SC,68.14,60.01,-8.130000000000003,2024
Franco da Rocha,SP,55.69,48.3,-7.390000000000001,2024
Dom Pedrito,RS,61.19,43.7,-17.489999999999995,2024
Roteiro,AL,66.92,45.95,-20.97,2024
Jucurutu,RN,34.74,43.69,8.949999999999996,2024
Ronda Alta,RS,76.01,52.8,-23.210000000000008,2024
Ponta Porã,MS,61.45,71.07,9.61999999999999,2024
Rancho Queimado,SC,73.86,80.8,6.939999999999998,2024
Cianorte,PR,79.62,74.95,-4.670000000000002,2024
Cáceres,MT,52.83,51.27,-1.5599999999999952,2024
Presidente Getúlio,SC,65.13,55.72,-9.409999999999997,2024
Irani,SC,74.83,65.74,-9.090000000000003,2024
Montalvânia,MG,53.65,66.9,13.250000000000007,2024
Uberaba,MG,51.32,69.47,18.15,2024
Tumiritinga,MG,50.96,74.58,23.619999999999997,2024
Taboão da Serra,SP,51.16,49.01,-2.1499999999999986,2024
Bonfim,MG,70.99,85.95,14.960000000000008,2024
Erval Grande,RS,80.0,38.8,-41.2,2024
Peçanha,MG,67.16,74.72,7.560000000000002,2024
Pirapora,MG,54.52,69.81,15.29,2024
Caratinga,MG,55.16,67.42,12.260000000000005,2024
Estiva,MG,73.63,75.2,1.5700000000000074,2024
Paranatinga,MT,50.99,60.98,9.989999999999995,2024
Otacílio Costa,SC,59.2,66.44,7.239999999999995,2024
Taquarituba,SP,57.07,56.67,-0.3999999999999986,2024
Tubarão,SC,71.86,55.11,-16.75,2024
São João Nepomuceno,MG,70.39,69.83,-0.5600000000000023,2024
Vera Cruz,RS,68.66,55.6,-13.059999999999995,2024
Juiz de Fora,MG,49.46,66.56,17.1,2024
Rolim de Moura,RO,70.6,64.22,-6.3799999999999955,2024
Lençóis,BA,42.83,37.66,-5.170000000000002,2024
Curitibanos,SC,53.71,56.96,3.25,2024
Arapoema,TO,43.86,68.32,24.459999999999994,2024
São Geraldo do Baixio,MG,72.56,76.32,3.759999999999991,2024
Porto União,SC,72.02,67.7,-4.319999999999993,2024
Alvorada D'Oeste,RO,36.33,77.36,41.03,2024
São Paulo,SP,44.37,48.25,3.8800000000000026,2024
Santana do Matos,RN,28.87,63.95,35.08,2024
Horizontina,RS,72.61,57.2,-15.409999999999997,2024
Morros,MA,80.0,66.98,-13.019999999999996,2024
Atalaia do Norte,AM,58.48,84.07,25.589999999999996,2024
Capela de Santana,RS,69.65,54.3,-15.350000000000009,2024
Palmeirais,PI,55.7,46.19,-9.510000000000005,2024
Deodápolis,MS,80.0,66.24,-13.760000000000005,2024
Campina do Monte Alegre,SP,51.32,43.46,-7.859999999999999,2024
São José da Barra,MG,80.0,75.22,-4.780000000000001,2024
Santa Izabel do Oeste,PR,80.0,82.63,2.6299999999999955,2024
Carnaubais,RN,34.58,48.37,13.79,2024
Serranópolis do Iguaçu,PR,80.0,82.66,2.6599999999999966,2024
São Marcos,RS,80.0,44.4,-35.6,2024
Humaitá,RS,80.0,60.8,-19.200000000000003,2024
Grossos,RN,46.65,67.44,20.79,2024
Passo do Sobrado,RS,80.0,57.9,-22.1,2024
Terezinha,PE,70.15,76.08,5.929999999999993,2024
Valinhos,SP,55.55,48.21,-7.339999999999996,2024
Morro Redondo,RS,74.06,49.5,-24.560000000000002,2024
Serafina Corrêa,RS,80.0,53.2,-26.799999999999997,2024
Itabira,MG,60.96,69.81,8.850000000000001,2024
São João da Ponte,MG,67.96,63.51,-4.449999999999996,2024
Iracema do Oeste,PR,80.0,85.71,5.709999999999994,2024
Cuiabá,MT,58.26,46.6,-11.659999999999997,2024
Poté,MG,47.81,69.67,21.86,2024
Angelândia,MG,63.08,84.97,21.89,2024
Brusque,SC,70.5,67.18,-3.319999999999993,2024
São José da Safira,MG,73.69,52.73,-20.96,2024
Condor,RS,80.0,61.9,-18.1,2024
Serrano do Maranhão,MA,69.93,53.62,-16.31000000000001,2024
Seberi,RS,80.0,68.0,-12.0,2024
Rolândia,PR,74.42,71.84,-2.5799999999999983,2024
Gavião,BA,63.7,47.37,-16.330000000000005,2024
Canguçu,RS,79.74,51.7,-28.039999999999992,2024
Saubara,BA,49.07,52.63,3.5600000000000023,2024
Tubarão,SC,71.86,60.48,-11.380000000000003,2024
Flores da Cunha,RS,79.15,59.4,-19.750000000000007,2024
Pau dos Ferros,RN,45.25,41.08,-4.170000000000002,2024
Panambi,RS,76.0,51.2,-24.799999999999997,2024
Cuiabá,MT,58.26,46.56,-11.699999999999996,2024
Vacaria,RS,68.24,47.4,-20.839999999999996,2024
Teófilo Otoni,MG,55.57,64.88,9.309999999999995,2024
Turvo,SC,62.69,69.98,7.290000000000006,2024
Muqui,ES,66.19,75.56,9.370000000000005,2024
Nova Bassano,RS,78.22,61.1,-17.119999999999997,2024
Campos dos Goytacazes,RJ,45.1,71.62,26.520000000000003,2024
Laranjal,MG,46.49,82.11,35.62,2024
Mato Verde,MG,70.78,71.71,0.9299999999999926,2024
Vila Rica,MT,53.14,55.24,2.1000000000000014,2024
Nova Esperança,PR,75.03,74.65,-0.37999999999999545,2024
São Thomé das Letras,MG,80.0,88.25,8.25,2024
Coreaú,CE,80.0,100.0,20.0,2024
Três Fronteiras,SP,80.0,69.58,-10.420000000000002,2024
Pedro Leopoldo,MG,62.5,69.22,6.719999999999999,2024
Setubinha,MG,53.85,68.57,14.719999999999992,2024
Malacacheta,MG,77.62,74.46,-3.160000000000011,2024
Jequitinhonha,MG,49.76,61.47,11.71,2024
Terenos,MS,63.66,68.25,4.590000000000003,2024
Japurá,AM,77.7,91.93,14.230000000000004,2024
Estrela do Sul,MG,52.24,75.81,23.57,2024
Novo Horizonte do Norte,MT,65.77,69.12,3.3500000000000085,2024
Aparecida do Taboado,MS,56.16,57.5,1.3400000000000034,2024
Concórdia,SC,76.94,71.3,-5.640000000000001,2024
Nossa Senhora das Graças,PR,79.27,94.81,15.540000000000006,2024
Cotriguaçu,MT,61.94,62.71,0.7700000000000031,2024
Ouro Preto,MG,59.55,74.25,14.700000000000003,2024
Fernandes Pinheiro,PR,80.0,79.81,-0.18999999999999773,2024
Jucurutu,RN,34.74,46.3,11.559999999999995,2024
Baldim,MG,75.13,89.89,14.760000000000005,2024
Santo André,PB,50.76,35.81,-14.949999999999996,2024
Pedro Gomes,MS,40.53,55.86,15.329999999999998,2024
Curvelo,MG,67.73,72.55,4.819999999999993,2024
Reserva do Cabaçal,MT,76.82,83.86,7.040000000000006,2024
Engenheiro Coelho,SP,57.75,47.86,-9.89,2024
Campo Limpo Paulista,SP,54.81,48.77,-6.039999999999999,2024
Lagoinha,SP,53.85,65.02,11.169999999999995,2024
Bom Retiro do Sul,RS,78.46,64.6,-13.86,2024
Belo Horizonte,MG,61.33,70.13,8.799999999999997,2024
Caatiba,BA,53.62,50.0,-3.6199999999999974,2024
Pajeú do Piauí,PI,68.29,64.0,-4.290000000000006,2024
Torres,RS,65.68,53.8,-11.88000000000001,2024
Fernão,SP,80.0,44.0,-36.0,2024
São Vicente,RN,65.76,52.0,-13.760000000000005,2024
Pedra Preta,MT,60.59,65.1,4.509999999999991,2024
Canápolis,MG,51.07,52.0,0.9299999999999997,2024
Vespasiano,MG,58.37,70.35,11.979999999999997,2024
Guarapari,ES,73.1,75.99,2.8900000000000006,2024
Coração de Jesus,MG,67.95,68.05,0.09999999999999432,2024
Porto Real do Colégio,AL,69.69,82.07,12.379999999999995,2024
Presidente Bernardes,MG,60.93,88.0,27.07,2024
Sacramento,MG,66.63,80.0,13.370000000000005,2024
Taparuba,MG,49.89,80.0,30.11,2024
Tenente Portela,RS,69.61,52.2,-17.409999999999997,2024
Santiago,RS,73.95,58.5,-15.450000000000003,2024
Tramandaí,RS,58.64,58.4,-0.240000000000002,2024
Manhumirim,MG,70.43,68.84,-1.5900000000000034,2024
Irati,SC,80.0,87.82,7.819999999999993,2024
Tupirama,TO,43.0,66.67,23.67,2024
Deodápolis,MS,80.0,65.69,-14.310000000000002,2024
Camaquã,RS,62.16,59.6,-2.559999999999995,2024
Uberlândia,MG,55.71,64.57,8.859999999999992,2024
Mariana,MG,58.12,67.81,9.690000000000005,2024
Inhapi,AL,67.49,80.16,12.670000000000002,2024
São José do Jacuri,MG,59.37,81.45,22.080000000000005,2024
